,MD1,MDP,MD3,delta_MDP,delta_MD3,allowed_by_LHC,allowed_by_DD,allowed_by_ID,allowed_by_RD
0,60.0,101.0,102.0,41.0,42.0,,,,
1,60.0,101.0,202.0,41.0,142.0,,,,
2,60.0,101.0,302.0,41.0,242.0,,,,
3,60.0,101.0,402.0,41.0,342.0,,,,
4,60.0,101.0,502.0,41.0,442.0,,,,
5,60.0,201.0,202.0,141.0,142.0,,,,
6,60.0,201.0,302.0,141.0,242.0,,,,
7,60.0,201.0,402.0,141.0,342.0,,,,
8,60.0,201.0,502.0,141.0,442.0,,,,
9,60.0,301.0,302.0,241.0,242.0,,,,
10,60.0,301.0,402.0,241.0,342.0,,,,
11,60.0,301.0,502.0,241.0,442.0,,,,
12,60.0,401.0,402.0,341.0,342.0,,,,
13,60.0,401.0,502.0,341.0,442.0,,,,
14,60.0,501.0,502.0,441.0,442.0,,,,
15,105.0,201.0,202.0,96.0,97.0,,,,
16,105.0,201.0,302.0,96.0,197.0,,,,
17,105.0,201.0,402.0,96.0,297.0,,,,
18,105.0,201.0,502.0,96.0,397.0,,,,
19,105.0,301.0,302.0,196.0,197.0,,,,
20,105.0,301.0,402.0,196.0,297.0,,,,
21,105.0,301.0,502.0,196.0,397.0,,,,
22,105.0,401.0,402.0,296.0,297.0,,,,
23,105.0,401.0,502.0,296.0,397.0,,,,
24,105.0,501.0,502.0,396.0,397.0,,,,
25,150.0,201.0,202.0,51.0,52.0,,,,
26,150.0,201.0,302.0,51.0,152.0,,,,
27,150.0,201.0,402.0,51.0,252.0,,,,
28,150.0,201.0,502.0,51.0,352.0,,,,
29,150.0,301.0,302.0,151.0,152.0,,,,
30,150.0,301.0,402.0,151.0,252.0,,,,
31,150.0,301.0,502.0,151.0,352.0,,,,
32,150.0,401.0,402.0,251.0,252.0,,,,
33,150.0,401.0,502.0,251.0,352.0,,,,
34,150.0,501.0,502.0,351.0,352.0,,,,
35,195.0,201.0,202.0,6.0,7.0,,,,
36,195.0,201.0,302.0,6.0,107.0,,,,
37,195.0,201.0,402.0,6.0,207.0,,,,
38,195.0,201.0,502.0,6.0,307.0,,,,
39,195.0,301.0,302.0,106.0,107.0,,,,
40,195.0,301.0,402.0,106.0,207.0,,,,
41,195.0,301.0,502.0,106.0,307.0,,,,
42,195.0,401.0,402.0,206.0,207.0,,,,
43,195.0,401.0,502.0,206.0,307.0,,,,
44,195.0,501.0,502.0,306.0,307.0,,,,
45,240.0,301.0,302.0,61.0,62.0,,,,
46,240.0,301.0,402.0,61.0,162.0,,,,
47,240.0,301.0,502.0,61.0,262.0,,,,
48,240.0,401.0,402.0,161.0,162.0,,,,
49,240.0,401.0,502.0,161.0,262.0,,,,
50,240.0,501.0,502.0,261.0,262.0,,,,
51,285.0,301.0,302.0,16.0,17.0,,,,
52,285.0,301.0,402.0,16.0,117.0,,,,
53,285.0,301.0,502.0,16.0,217.0,,,,
54,285.0,401.0,402.0,116.0,117.0,,,,
55,285.0,401.0,502.0,116.0,217.0,,,,
56,285.0,501.0,502.0,216.0,217.0,,,,
57,330.0,401.0,402.0,71.0,72.0,,,,
58,330.0,401.0,502.0,71.0,172.0,,,,
59,330.0,501.0,502.0,171.0,172.0,,,,
60,375.0,401.0,402.0,26.0,27.0,,,,
61,375.0,401.0,502.0,26.0,127.0,,,,
62,375.0,501.0,502.0,126.0,127.0,,,,
63,420.0,501.0,502.0,81.0,82.0,,,,
64,465.0,501.0,502.0,36.0,37.0,,,,
